,buurt_code,gm_naam,regio,aantal_inwoners,aantal_inwoners_tussen_25_44_percentage,aantal_huishoudens_met_kinderen_percentage,gemiddelde_huishoudensgrootte,woningvoorraad,gemiddelde_woningwaarde,meergezinswoning_percentage,bewoond_percentage,koopwoning_percentage,bouwjaar_vanaf_2000_percentage,afstand_tot_ziekenhuis_km,afstand_tot_grote_supermarkt_km,afstand_tot_cafe_km,afstand_tot_kinderdagverblijf_km,afstand_tot_buitenschoolseopvang_km,afstand_tot_openbaar_groen_km,afstand_tot_park_of_plantsoen_km,afstand_tot_bos_km,afstand_tot_hoofdverkeersweg_km,afstand_tot_treinstation_km,AfstandTotSemiOpenbaarGroenTotaal_83,leefbarometer_score,leefbarometer_fysieke_omgeving,leefbarometer_fysieke_overlast,leefbarometer_sociale_samenhang,leefbarometer_voorzieningen,aardgasverbruik_m3_gemiddeld,elektriciteitsverbruik_kwh_gemiddeld,social_economische_score_gemiddeld,geluid_van_treinverkeer,geluid_van_weg
0,BU03070100,Amersfoort,Hof,710,36.62,5.63,1.4,396,335.0,69.0,91.0,26.0,2.0,2.3,0.2,0.1,0.9,0.9,0.0,0.0,0.0,2.1,0.0,0.0,4.22,0.02,-0.14,-0.04,0.24,1310.0,2430.0,-0.12,20.0,31.65
1,BU03070101,Amersfoort,Nieuwstraat e.o.,460,32.61,8.7,1.6,259,420.0,61.0,93.0,41.0,11.0,2.6,0.4,0.2,0.6,0.6,0.0,0.0,0.0,2.0,0.0,0.0,4.26,0.02,-0.1,-0.03,0.24,1280.0,2600.0,0.09,20.0,27.009999999999998
2,BU03070102,Amersfoort,Mooierstraat e.o.,165,24.24,12.12,1.7,100,440.0,72.0,89.0,45.0,0.0,2.6,0.3,0.2,0.5,0.5,0.0,0.0,0.0,2.1,0.0,0.0,4.28,0.04,-0.11,-0.03,0.24,1350.0,2770.0,0.0,20.0,24.79
3,BU03070103,Amersfoort,Lieve Vrouwekerkhof,465,32.26,8.6,1.6,298,341.0,77.0,94.0,33.0,1.0,2.4,0.3,0.2,0.7,0.7,0.0,0.0,0.0,2.4,0.0,0.0,4.18,0.02,-0.18,-0.05,0.26,1170.0,2290.0,-0.04,20.0,30.610000000000003
4,BU03070104,Amersfoort,Coninckstraat e.o.,1255,33.86,8.76,1.6,772,308.0,48.0,95.0,29.0,5.0,2.6,0.2,0.4,0.8,0.8,0.0,0.0,0.0,1.9,0.0,0.0,4.22,0.01,-0.09,-0.04,0.22,1150.0,2300.0,-0.12,20.45,28.560000000000002
5,BU03070105,Amersfoort,Beestenmarkt,1045,36.84,6.22,1.5,651,326.0,92.0,95.0,53.0,8.0,2.8,0.2,0.4,0.7,0.7,0.0,0.0,0.0,1.7,0.0,0.0,4.23,0.0,-0.06,-0.04,0.21,980.0,2090.0,0.16,20.0,33.39
6,BU03070106,Amersfoort,Grote Haag,490,44.9,8.16,1.5,317,316.0,89.0,94.0,29.0,26.0,2.8,0.3,0.1,0.4,0.4,0.0,0.0,0.0,2.2,0.0,0.0,4.22,0.03,-0.16,-0.02,0.25,950.0,2080.0,0.02,20.0,32.87
7,BU03070107,Amersfoort,Stadhuisplein,655,47.33,3.82,1.4,320,255.0,96.0,97.0,8.0,37.0,2.4,0.3,0.3,0.7,0.7,0.0,0.0,0.0,2.4,0.0,0.0,4.12,0.02,-0.2,-0.04,0.25,970.0,1990.0,0.2,22.169999999999998,34.72
8,BU03070108,Amersfoort,Schimmelpenninckbuurt,405,22.22,11.11,1.8,184,418.0,49.0,98.0,60.0,0.0,2.1,0.5,0.3,0.7,0.7,0.0,0.0,0.0,2.3,0.0,0.0,4.26,-0.02,-0.05,-0.02,0.21,1420.0,2570.0,0.2,28.26,29.630000000000003
9,BU03070200,Amersfoort,Smallepad e.o.,435,74.71,1.15,1.3,363,201.0,100.0,94.0,0.0,0.0,2.6,0.7,0.6,1.0,1.1,0.0,0.0,0.0,2.7,0.0,0.0,3.87,-0.03,-0.24,-0.0,0.2,590.0,1660.0,-0.22,0.0,0.0
